player_id,Primary Goal,Secondary Goal,Tertiary Goal
77028,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
81971,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
82042,Decrease BB% to 9% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
93229,Increase K% to 25% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
95022,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
97366,Increase K% to 28% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
106872,Decrease BB% to 7.3% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
107063,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
107945,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
110430,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
121295,Decrease BB% to 7.6% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
130759,Decrease BB% to 9% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
131393,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
132117,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
138104,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
138504,Decrease BB% to 9% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
170519,Increase K% to 28.1% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
172939,Increase K% to 36.6% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
173608,Increase K% to 25% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
174474,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
175204,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
175541,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
175852,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
176229,Decrease BB% to 7.3% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
176513,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
185207,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
188487,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
196079,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
196331,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
197039,Increase K% to 25% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
197101,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
197663,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
198105,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
212631,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
212655,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
212891,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
212951,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
217429,Increase K% to 34.4% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
219551,Decrease BB% to 9% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
219805,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
219811,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
234202,Decrease BB% to 6.6% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
234504,Increase K% to 23% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
235206,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
235408,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
260601,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
276722,Increase K% to 27% or more,Decrease BB% to 8% or less,Increase FPinZ% to 53% or more
279044,Decrease BB% to 10% or less,Increase FPinZ% to 53% or more,Increase K% to 23% or more
